profile,coordinate_source,match_id,team_id,match_period,start_event_id,start_type,start_ts,end_ts,duration_s,in_play_duration_s,start_x,max_x,end_x,progression_x,directness,pass_count,action_count,start_zone,success_primary_shot,success_primary_shot_box,goal_count,success_secondary_box_entry,success_secondary_final_third_entry,start_goal_distance_m,min_goal_distance_m,progression_goal_m,avg_progress_speed_mps,required_speed_mps,speed_ratio,progress_fraction,time_fraction,scaled_ratio_to_max,scaled_distance_factor,scaled_max_duration_s,scaled_max_passes,required_min_duration_s,tracking_start_x_m_raw,tracking_start_y_m_raw,tracking_attacking_left,tracking_start_dt_s
balanced_v2_scaled_tracking_coords,tracking,5544196,1598,1H,2219389934,duel,846.67,853.146,6.475999999999999,6.475999999999999,51.78813063018617,98.19694803649364,98.19694803649364,46.40881740630747,1.0000000000000002,1,4,middle_third,1,1,0,1,1,55.035230085056504,10.409069787364439,44.62616029769207,6.89100684028599,3.4722222222222223,1.9846099700023652,0.8108653353265298,0.36339289821804954,0.4986540088904063,1.0482900968582192,17.820931646589727,6,3.260169562425912,-0.711869369813833,-14.048968242720772,0,0.009999999999990905
balanced_v2_scaled_tracking_coords,tracking,5544196,1598,2H,2219390869,interception,3460.468,3468.608,8.140000000000327,8.140000000000327,61.205315089293606,84.0343997245222,82.8879276762714,22.829084635228597,0.8279696332643158,2,3,middle_third,0,0,0,0,1,53.869967409622745,23.90336366871207,29.966603740910674,3.681400950971679,3.3110126835316,1.1118655537873128,0.5562766265115239,0.46664656584938335,0.4880959917145468,1.0260946173261476,17.44360849454451,6,3.1256383558672343,8.705315089293606,-31.368757742151075,0,0.012000000000170985
balanced_v2_scaled_tracking_coords,tracking,5544196,9598,2H,2219391444,duel,4259.663,4265.912,6.249000000000706,6.249000000000706,75.41898351162453,92.13506857283343,92.13506857283343,16.7160850612089,0.9055525750469096,1,2,attacking_third,0,0,0,1,1,42.30122330650045,18.486012619390692,23.815210687109754,3.8110434768934334,3.088235294117647,1.2340521734702545,0.5629910632738147,0.4562133395791834,0.38327584985389596,0.8057375867904847,13.69753897543824,5,2.9225859498339353,-22.918983511624532,30.238335879159678,1,0.01700000000073487
balanced_v2_scaled_tracking_coords,tracking,5544196,9598,2H,2219391598,interception,4627.792,4631.226,3.433999999999287,3.433999999999287,92.00496149252109,100.17457932718757,100.10137828444056,8.169617834666482,0.9556420731468563,1,2,attacking_third,0,0,0,1,1,16.853914133964086,5.659894391933498,11.194019742030587,3.259761136293801,3.0882352941176467,1.055541701276088,0.6641792317828621,0.6292306888301128,0.1527071266061237,0.32102693588503023,5.457457910045514,2,2.6856434072496986,-39.50496149252109,10.732352762753123,1,0.007999999999810825
balanced_v2_scaled_tracking_coords,tracking,5544196,1598,2H,2219391398,duel,4994.716,5005.359,10.643000000000029,10.643000000000029,46.842986692583054,92.87334439491353,88.3985941907275,46.03035770233048,0.8605809123536081,1,3,middle_third,0,0,0,1,1,58.25744473307511,18.527889626686093,39.729555106389014,3.7329282257247867,3.4722222222222223,1.0750833290087385,0.6819652885296038,0.5641869187000861,0.5278493125033215,1.1096656139633354,18.864315437376703,6,3.330814475820242,-5.657013307416946,-3.4193084078843583,0,0.0039999999999054126
balanced_v2_scaled_tracking_coords,tracking,5544196,1598,2H,2219391449,duel,5259.818,5274.83,15.011999999999716,14.42199999999957,34.44987293544115,109.5051988065861,109.5051988065861,75.05532587114494,0.7618045511304193,4,8,defensive_third,1,1,0,1,1,71.20173341328169,14.142377910846085,57.0593555024356,3.8009163004554143,3.4722222222222223,1.0946638945311593,0.8013759323981848,0.6499472629546972,0.6462928435450278,1.3586622697893358,23.097258586418707,7,3.5078589580651265,-18.05012706455885,-9.610744624150328,0,0.018000000000029104
balanced_v2_scaled_tracking_coords,tracking,5544197,8731,1H,2219456923,duel,430.295,441.682,11.387,10.103853999999956,58.65901374052024,105.30050878023587,105.30050878023587,46.641495039715636,0.9112547783941801,2,6,middle_third,1,0,0,1,1,48.44703653088177,4.523833505008766,43.923203025873,3.857311234378941,3.3639268508781583,1.1466691772361173,0.9066231119807479,0.7216846845453683,0.44150003485458916,0.9281387616445346,15.778358947957088,5,3.1620140894211395,6.159013740520237,-14.128989387896794,0,0.016145999999992
balanced_v2_scaled_tracking_coords,tracking,5544197,3757,1H,2219457103,duel,1069.159,1076.87,7.710999999999785,6.6798539999999775,69.60772314142693,108.52528727965006,107.89109903107504,38.91756413822313,0.9943231700914206,1,2,middle_third,0,0,0,1,1,48.885175111525896,9.22414690548124,39.661028206044655,5.143435119445695,3.154767372593623,1.6303690611638133,0.8113099342604908,0.48741283638532223,0.44267260988048873,0.9306037950455673,15.820264515774644,5,3.0056039551224725,-17.10772314142693,-33.721611534009824,1,0.00014600000008613279
balanced_v2_scaled_tracking_coords,tracking,5544197,8731,2H,2219458017,interception,3892.511,3898.548,6.036999999999807,6.036999999999807,23.410705148036726,54.44809638016345,54.44809638016345,31.037391232126723,0.4596896725127801,3,3,defensive_third,0,0,0,0,0,82.5801786385428,50.57559257820607,32.004586060336734,5.301405675060089,3.4722222222222223,1.5268048344173055,0.387557723753811,0.22576454517241795,0.7482286722405548,1.5729557835912915,26.740248321051954,8,3.665561355028047,29.089294851963274,-12.754327482585708,1,0.0019440000000940927
balanced_v2_scaled_tracking_coords,tracking,5544197,8731,2H,2219458129,duel,4302.79,4312.342,9.55199999999968,9.55199999999968,34.72043262747974,87.32255389655342,87.32255389655342,52.60212126907368,0.8164416334829869,3,3,defensive_third,0,0,0,0,1,77.51399155372873,23.560844235348792,53.95314731837993,5.648361318926062,3.4722222222222223,1.626728059850706,0.6960439816982251,0.38056127594672634,0.7023258115506475,1.4764569819757853,25.099768693588352,8,3.503993819607432,17.779567372520262,32.69864364959065,1,0.002943999999843072
